id,label
5056,0.999761
3719,0.999998
10342,0.999895
9215,0.000279
12434,0.291643
11066,0.999378
2315,0.002481
7983,0.236095
6912,0.999412
144,0.736318
7472,0.035114
3229,0.999621
1634,0.999852
11638,0.008672
5364,0.000098
7247,0.765425
4104,1.000000
8160,0.977874
2916,1.000000
536,0.501457
10746,0.036883
6569,0.999983
4789,0.272292
654,1.000000
8586,0.001500
5581,0.997363
7974,0.000016
4179,0.005384
10060,0.999904
2007,0.957124
7391,0.000000
8449,0.999880
4860,0.917338
1008,0.000002
3316,0.000008
10424,0.019123
2319,0.999997
5446,1.000000
10452,0.808504
9225,0.000376
7505,0.937060
8831,0.644155
8943,0.000025
9634,0.785326
8644,0.038792
11841,1.000000
10604,0.046908
1479,0.662672
947,0.326617
8749,0.000055
7404,0.999832
5507,0.999985
11616,0.000255
9911,0.946173
6685,0.998010
6016,1.000000
5553,0.679396
5461,0.000143
11863,0.999806
8518,0.998714
4286,0.001745
4449,0.001343
5548,0.998773
7373,0.164892
4994,0.000012
8456,0.000014
335,0.001414
1341,0.000958
1513,0.007170
11833,0.986828
5675,0.998499
5123,1.000000
2738,0.999991
3196,1.000000
2130,0.001579
9320,0.002211
3706,0.999958
842,0.999413
4644,0.313887
4299,0.897210
10020,0.039216
11868,0.000000
2609,1.000000
6857,0.015009
9142,0.166501
5144,0.000085
4033,0.818484
9292,0.000000
9018,0.245382
6261,0.020299
2274,0.000051
1404,0.000000
329,0.000000
3041,0.860031
12368,0.000014
246,0.049779
12422,0.998934
1656,0.000024
8432,0.005050
11238,0.999996
6985,0.997511
7624,0.000000
5354,0.000000
8273,0.000000
1715,0.977319
7044,0.011390
7669,0.723723
7780,0.001553
3373,0.054305
9712,0.056434
6214,1.000000
9471,0.000627
4322,0.792539
11634,0.015563
4650,0.936581
11867,0.999996
6688,0.873350
2488,0.012118
1228,0.001381
8087,0.256941
11891,0.000015
1929,0.000016
11627,0.999997
8474,0.998529
12315,1.000000
9667,0.999995
5997,0.999999
2249,0.977154
1657,0.000001
3160,0.999998
5120,0.999999
5261,0.000000
8443,0.196799
7437,0.000000
190,0.999999
10612,0.999990
11609,0.000000
1062,0.000053
8225,0.016524
2299,0.118379
10345,0.999966
2143,1.000000
10083,0.000365
4418,0.006737
11909,0.009931
2632,0.000001
5914,0.000002
12248,0.995894
2795,0.999740
7854,0.000098
9286,0.019612
2543,0.969944
5463,0.999823
10481,0.000000
3029,0.972076
2786,0.571761
6320,0.156206
2521,0.565164
7864,0.731124
7701,0.999992
11364,0.003446
11178,0.775162
1702,0.854702
1092,0.689108
10783,0.000359
3906,0.957883
4375,0.700104
11258,1.000000
4753,0.203091
290,0.000009
3497,1.000000
7144,0.999999
5583,0.000010
4121,0.703184
12358,0.004995
2677,0.114286
11942,0.000000
10030,1.000000
12380,0.995276
1792,0.000040
12445,0.004885
407,0.014726
7991,0.000000
6254,0.999999
2726,0.250547
8810,0.002621
1767,1.000000
3334,1.000000
6577,0.999997
12226,1.000000
8678,0.000000
6361,0.972805
11741,0.032797
6608,1.000000
6251,0.069541
9906,0.000004
11588,0.023065
2563,0.000183
2485,0.000033
8890,0.000892
4885,0.146992
10295,0.000012
9482,0.000009
6091,0.999135
10581,1.000000
3961,0.999993
8835,1.000000
5029,0.000008
8301,0.999967
6257,0.999977
10875,1.000000
10533,0.059449
6487,0.000840
6167,0.475172
3319,0.001995
7932,1.000000
11884,0.016478
7451,0.546727
1937,0.999997
7513,0.000000
10339,0.738620
6371,0.000000
4522,0.122296
714,0.000000
10164,0.648955
1215,0.996149
298,0.999963
9125,0.138064
4270,0.001367
3473,0.000001
9839,0.863157
3648,0.999953
3512,1.000000
9867,0.999958
11808,0.026908
10473,0.999288
8138,0.183730
7737,0.870310
12493,1.000000
11447,0.000001
1015,0.000000
12320,0.999997
11321,0.999995
6642,0.041267
2205,0.000017
5658,0.692608
7610,0.000002
2935,0.000173
3278,0.112503
2281,0.999939
2439,0.112948
2484,0.942223
8333,0.003454
2252,0.544998
978,0.031350
1171,0.689350
367,0.999987
12042,0.337443
6502,0.999986
10979,1.000000
2436,0.000006
11914,0.062110
2737,0.998794
8315,0.000026
2128,0.000323
11177,0.001688
10280,0.186284
8363,0.001234
10162,1.000000
5798,0.996878
6542,0.963115
659,0.000194
10472,0.000000
10799,0.000002
383,1.000000
10523,0.999999
4377,0.000003
11902,0.965113
11907,1.000000
6187,0.947488
1090,0.002303
2707,0.755380
7607,0.000800
397,0.992242
9030,0.729560
5366,0.997984
10727,0.000000
117,0.002539
9008,0.000000
4924,0.683270
2279,0.422984
7572,1.000000
653,0.438649
7445,0.999985
